sampleid,generation,condition,parentplant,parentcondition,plantinggroup,growthchamber,shelf,combocondition,sampletype,fresh.root.weight_g,dry.root.weight_g,fresh.shoot.weight_g,dry.shoot.weight_g,fresh.pods.weight_g,dry.empty.pods.weight_g,pod_number,seed_number,dry.seed.weight_g,dry.pod.total_g,30dry.seed.weight_g,total.upper.drymass_g,date_of_licor,photosynthetic_rate,stomatal_conductance
ROOT_G2_183,2,Drought,C8,Control,3,1,bottom,Drought_Control,LiCOR_Health,NA,3.59,NA,6.53,NA,NA,9,29,NA,7.88,NA,NA,10_26_2021,18.89701997,0.562401951
ROOT_G2_184,2,Nutrient,D11,Drought,3,1,bottom,Nutrient_Drought,LiCOR_Health,NA,6.12,NA,12.05,NA,NA,9,33,NA,8.99,NA,NA,10_26_2021,11.8397638,0.330905573
ROOT_G2_185,2,Drought,C15,Control,3,1,bottom,Drought_Control,LiCOR_Health,NA,2.97,NA,5.42,NA,NA,9,25,NA,8.08,NA,NA,10_26_2021,16.26296445,0.269215081
ROOT_G2_186,2,Control,C1B,Control,3,1,bottom,Control_Control,LiCOR_Health,NA,6.06,NA,8.42,NA,NA,7,18,NA,8.06,NA,NA,10_26_2021,16.56534819,0.450258205
ROOT_G2_187,2,Nutrient,D13,Drought,3,1,bottom,Nutrient_Drought,LiCOR_Health,NA,8.13,NA,12.23,NA,NA,11,36,NA,11.44,NA,NA,10_26_2021,16.20764873,0.19766156
ROOT_G2_189,2,Control,N3,Nutrient,3,1,bottom,Control_Nutrient,LiCOR_Health,NA,3.72,NA,7.68,NA,NA,9,34,NA,9.35,NA,NA,10_26_2021,13.83610126,0.460454483
ROOT_G2_190,2,Drought,N5,Nutrient,3,1,bottom,Drought_Nutrient,LiCOR_Health,NA,3.86,NA,4.91,NA,NA,9,35,NA,8.36,NA,NA,10_26_2021,17.1427358,0.406314889
ROOT_G2_194,2,Nutrient,N3,Nutrient,3,1,bottom,Nutrient_Nutrient,LiCOR_Health,NA,5.74,NA,11.73,NA,NA,7,26,NA,11.03,NA,NA,10_26_2021,16.2266781,0.225344806
ROOT_G2_195,2,Drought,D5,Drought,3,1,bottom,Drought_Drought,LiCOR_Health,NA,2.49,NA,6.41,NA,NA,8,21,NA,8.62,NA,NA,10_26_2021,15.45187399,0.323059213
ROOT_G2_196,2,Nutrient,C8,Control,3,1,bottom,Nutrient_Control,LiCOR_Health,NA,3.97,NA,9.44,NA,NA,8,36,NA,9.38,NA,NA,10_26_2021,15.93970763,0.268400987
ROOT_G2_197,2,Drought,N3,Nutrient,3,2,bottom,Drought_Nutrient,LiCOR_Health,NA,8.84,NA,4.19,NA,NA,10,27,NA,2.52,NA,NA,10_26_2021,15.70423943,0.239780945
ROOT_G2_198,2,Control,N1B,Nutrient,3,2,bottom,Control_Nutrient,LiCOR_Health,NA,4.99,NA,6.11,NA,NA,9,21,NA,3.37,NA,NA,10_26_2021,16.20878801,0.3702225
ROOT_G2_201,2,Nutrient,C1B,Control,3,2,bottom,Nutrient_Control,LiCOR_Health,NA,5.01,NA,10.23,NA,NA,12,26,NA,4.1,NA,NA,10_26_2021,17.75453785,0.301447692
ROOT_G2_203,2,Control,C8,Control,3,2,bottom,Control_Control,LiCOR_Health,NA,6.21,NA,5.97,NA,NA,8,26,NA,4.88,NA,NA,10_26_2021,18.80594531,0.707769697
ROOT_G2_206,2,Control,D10,Drought,3,2,bottom,Control_Drought,LiCOR_Health,NA,7.48,NA,5.9,NA,NA,6,19,NA,3.26,NA,NA,10_26_2021,13.92845984,0.39184977
ROOT_G2_207,2,Control,C15,Control,3,2,bottom,Control_Control,LiCOR_Health,NA,4.09,NA,6.16,NA,NA,10,26,NA,7.71,NA,NA,10_26_2021,16.27609432,0.276223073
ROOT_G2_208,2,Drought,D11,Drought,3,2,bottom,Drought_Drought,LiCOR_Health,NA,5.3,NA,6.29,NA,NA,8,18,NA,3.53,NA,NA,10_26_2021,17.10728117,0.25536122
ROOT_G2_209,2,Nutrient,D5,Drought,3,2,bottom,Nutrient_Drought,LiCOR_Health,NA,4.49,NA,10.92,NA,NA,14,37,NA,8.72,NA,NA,10_26_2021,16.23758777,0.284336644
ROOT_G2_210,2,Control,D13,Drought,3,2,bottom,Control_Drought,LiCOR_Health,NA,6.33,NA,5.52,NA,NA,7,11,NA,5.25,NA,NA,10_26_2021,15.08321825,0.268257776
ROOT_G2_211,2,Drought,N1B,Nutrient,3,2,bottom,Drought_Nutrient,LiCOR_Health,NA,5.37,NA,4.32,NA,NA,4,16,NA,5.71,NA,NA,10_26_2021,15.34791793,0.221228263
ROOT_G2_215,2,Nutrient,C2B,Control,3,2,bottom,Nutrient_Control,LiCOR_Health,NA,4.99,NA,7.77,NA,NA,12,32,NA,9.45,NA,NA,10_26_2021,14.62855629,0.121178334
